probe	chr	TSS	NAME	strand
49856	1	3652761	WRAP73	-
148870	1	3746460	CCDC27	+
388588	1	3772648	SMIM1	+
57470	1	3796517	LRRC47	-
1677	1	3857242	DFFB	+
9731	1	3857723	CEP104	-
100133612	1	3900187	LINC01134	+
339448	1	3900297	C1orf174	-
105376673	1	3976133	LINC02780	+
284661	1	4412027	LINC01777	+
55966	1	4654589	AJAP1	+
105376680	1	4973381	LINC02781	+
8514	1	5990927	KCNAB2	+
261734	1	5993455	NPHP4	-
26038	1	6180356	CHD5	-
388591	1	6205392	RNF207	+
6146	1	6209389	RPL22	-
148645	1	6234692	ICMT-DT	+
23463	1	6235997	ICMT	-
387509	1	6261104	GPR153	-
11332	1	6393789	ACOT7	-
54626	1	6424690	HES2	-
83715	1	6424770	ESPN	+
8718	1	6466190	TNFRSF25	-
57449	1	6520074	PLEKHG5	-
79707	1	6554536	NOL9	-
80835	1	6555303	TAS1R1	+
3104	1	6579994	ZBTB48	+
148479	1	6613723	PHF13	+
9903	1	6614607	KLHL21	-
90326	1	6624845	THAP3	+
55735	1	6701924	DNAJC11	-
23261	1	6785432	CAMTA1	+
127138864	1	7014279	CAMTA1-AS3	-
9341	1	7771264	VAMP3	+
8863	1	7784183	PER3	+
10911	1	7853512	UTS2	-
3604	1	7943165	TNFRSF9	-
11315	1	7952654	PARK7	+
54206	1	8026318	ERRFI1	-
50651	1	8318081	SLC45A1	+
473	1	8848921	RERE	-
100505975	1	8878464	ENO1-AS1	+
2023	1	8879308	ENO1	-
765	1	8945867	CA6	+
155184	1	9026423	SLC2A7	-
6518	1	9088478	SLC2A5	-
80045	1	9129200	GPR157	-
102724571	1	9181588	LNCTAM34A	+
106614088	1	9202826	MIR34AHG	-
9563	1	9234739	H6PD	+
80176	1	9292101	SPSB1	+
100506022	1	9455910	LINC02606	-
84275	1	9539437	SLC25A33	+
199953	1	9588718	TMEM201	+
5293	1	9629889	PIK3CD	+
101929074	1	9687604	PIK3CD-AS2	-
22883	1	9823993	CLSTN1	-
139355239	1	9848318	CTNNBIP1-AS1	+
56998	1	9910378	CTNNBIP1	-
84328	1	9943407	LZIC	-
64802	1	9943428	NMNAT1	+
116362	1	9997050	RBP7	+
10277	1	10032832	UBE4B	+
23095	1	10210481	KIF1B	+
5226	1	10398592	PGD	+
378708	1	10430390	CENPS	+
1325	1	10450010	CORT	+
5195	1	10472288	PEX14	+
1676	1	10472582	DFFA	-
54897	1	10796658	CASZ1	-
148345	1	10982076	CIROZ	-
23435	1	11012344	TARDBP	+
10747	1	11047273	MASP2	-
6723	1	11060078	SRM	-
5394	1	11099907	EXOSC10	-
100873935	1	11143898	MTOR-AS1	+
10218	1	11189348	ANGPTL7	+
2475	1	11262556	MTOR	-
29914	1	11273189	UBIAD1	+
57540	1	11478905	DISP3	+
101929181	1	11609468	LINC01647	+
93611	1	11650618	FBXO44	+
26232	1	11655785	FBXO2	-
26270	1	11664141	FBXO6	+
374946	1	11690958	DRAXIN	+
10459	1	11692605	MAD2L2	-
57085	1	11736070	AGTRAP	+
284498	1	11761787	C1orf167	+
102724659	1	11779619	C1orf167-AS1	-
1185	1	11806096	CLCN6	+
4524	1	11806455	MTHFR	-
4878	1	11848345	NPPA	-
4879	1	11859648	NPPB	-
90231	1	11926428	KIAA2013	-
5351	1	11934205	PLOD1	+
9927	1	11980181	MFN2	+
60672	1	12019466	MIIP	+
943	1	12063079	TNFRSF8	+
7133	1	12166970	TNFRSF1B	+
55187	1	12230007	VPS13D	+
105376744	1	12525549	LINC02766	+
9249	1	12620183	DHRS3	-
343066	1	12644085	AADACL4	+
126767	1	12716109	AADACL3	+
93190	1	12746194	CFAP107	+
390999	1	12773738	PRAMEF12	+
645425	1	13410450	PRAMEF20	+
126755	1	13514526	LRRC38	-
10630	1	13583465	PDPN	+
7799	1	13699989	PRDM2	+
23254	1	13892792	KAZN	+
105376762	1	14419973	KAZN-AS1	-
55092	1	15152498	TMEM51	+
200197	1	15153618	TMEM51-AS1	-
727684	1	15171666	TMEM51-AS2	-
114827	1	15236521	FHAD1	+
101927417	1	15343890	FHAD1-AS1	-
79180	1	15409572	EFHD2	+
124903852	1	15411229	LOC124903852	-
11330	1	15438442	CTRC	+
63036	1	15456728	CELA2A	+
51032	1	15465909	CELA2B	+
842	1	15526534	CASP9	-
23341	1	15526813	DNAJC16	+
79814	1	15585084	AGMAT	-
84301	1	15617416	DDI2	+
6248	1	15659713	RSC1A1	+
23207	1	15681461	PLEKHM2	+
284723	1	15736176	SLC25A34	+
388595	1	15742488	TMEM82	+
54751	1	15756604	FBLIM1	+
440567	1	15809348	UQCRHL	-
23013	1	15836095	SPEN	+
729614	1	15848147	SPEN-AS1	-
7709	1	15976132	ZBTB17	-
149563	1	16004229	SRARP	+
1187	1	16018146	CLCNKA	+
27129	1	16020597	HSPB7	-
1188	1	16040252	CLCNKB	+
348487	1	16073664	FAM131C	-
1969	1	16156141	EPHA2	-
128272	1	16212893	ARHGEF19	-
79363	1	16237214	CPLANE2	-
54455	1	16352494	FBXO42	-
26099	1	16352575	SZRD1	+
374955	1	16437424	SPATA21	-
55707	1	16440664	NECAP2	+
107984921	1	16460948	LINC01772	+
114819	1	16491307	CROCCP3	-
100132147	1	16535707	LINC01783	-
55672	1	16613562	NBPF1	-
84809	1	16680618	CROCCP2	-
9696	1	16740273	CROCC	+
124903859	1	16750713	LOC124903859	-
112267871	1	16870945	LINC03126	+
105376805	1	16896642	LOC105376805	-
4237	1	16981616	MFAP2	-
23400	1	17011986	ATP13A2	-
6390	1	17054210	SDHB	-
11240	1	17119459	PADI2	-
29943	1	17205120	PADI1	+
51702	1	17249093	PADI3	+
23569	1	17308195	PADI4	+
353238	1	17372196	PADI6	+
55920	1	17439992	RCC2	-
55160	1	17539368	ARHGEF10L	+
107984028	1	17717625	LINC02810	+
81569	1	17755310	ACTL8	+
84966	1	18107490	IGSF21	+
127707	1	18480930	KLHDC7A	+
5081	1	18630846	PAX7	+
80834	1	18859660	TAS1R2	-
8659	1	18902799	ALDH4A1	-
126917	1	18956676	IFFO2	-
23352	1	19210329	UBR4	-
101927895	1	19210330	EMC1-AS1	+
23065	1	19251552	EMC1	-
51154	1	19251555	MRTO4	+
246181	1	19274194	AKR7L	-
54896	1	19288044	SLC66A1	+
22977	1	19288823	AKR7A3	-
8574	1	19312149	AKR7A2	-
440574	1	19484403	MICOS10	+
832	1	19485650	CAPZB	-
105378614	1	19596873	MICOS10-DT	-
4681	1	19596979	NBL1	+
3362	1	19664837	HTR6	+
255104	1	19800500	TMCO4	-
23252	1	19882368	OTUD3	+
5320	1	19980462	PLA2G2A	-
5322	1	20028179	PLA2G5	+
26279	1	20119566	PLA2G2D	-
64600	1	20139322	PLA2G2F	+
117779438	1	20154117	LOC117779438	+
127733	1	20183293	UBXN10	+
391013	1	20186524	PLA2G2C	-
127731	1	20290875	VWA5B1	+
55450	1	20486270	CAMK2N1	-
79594	1	20508163	MUL1	-
163933	1	20552573	FAM43B	+
978	1	20588898	CDA	+
65018	1	20633436	PINK1	+
100861548	1	20652193	PINK1-AS	-
1650	1	20661544	DDOST	-
57576	1	20718018	KIF17	-
400745	1	20732837	SH2D5	-
50809	1	20787339	HP1BP3	-
8672	1	21177285	EIF4G3	-
100506801	1	21293290	ECE1-AS1	+
1889	1	21345912	ECE1	-
84224	1	21439853	NBPF3	+
249	1	21508813	ALPL	+
105376834	1	21586472	LINC02596	+
5909	1	21669846	RAP1GAP	-
84196	1	21783618	USP48	-
401944	1	21812265	LDLRAD2	+
3339	1	21937318	HSPG2	-
23436	1	21977022	CELA3B	+
10136	1	22001657	CELA3A	+
29092	1	22024558	LINC00339	+
101928043	1	22026215	LINC01635	-
998	1	22052627	CDC42	+
54361	1	22143969	WNT4	-
9923	1	22428838	ZBTB40	+
2046	1	22563461	EPHA8	+
712	1	22635057	C1QA	+
714	1	22642558	C1QC	+
713	1	22652713	C1QB	+
2048	1	22710798	EPHB2	+
646262	1	22972866	LACTBL1	-
729059	1	23019100	TEX46	-
23028	1	23019395	KDM1A	+
7798	1	23178152	LUZP1	-
3352	1	23217547	HTR1D	-
10236	1	23344658	HNRNPR	-
148898	1	23368485	ZNF436-AS1	+
80818	1	23369960	ZNF436	-
6920	1	23425169	TCEA3	-
55616	1	23484637	ASAP3	-
1870	1	23531241	E2F2	-
3399	1	23560586	ID3	-
259283	1	23581495	MDS2	+
107984928	1	23593621	LOC107984928	-
6135	1	23691685	RPL11	+
6924	1	23743153	ELOA	+
100506963	1	23778340	ELOA-AS1	-
57095	1	23778365	PITHD1	+
11313	1	23791110	LYPLA2	+
2582	1	23800804	GALE	-
3155	1	23838620	HMGCL	-
2517	1	23868361	FUCA1	-
1269	1	23913396	CNR2	-
55629	1	23956839	PNRC2	+
10772	1	23980927	SRSF10	-
127294	1	24112190	MYOM3	-
58985	1	24143301	IL22RA1	-
163702	1	24187959	IFNLR1	-
57822	1	24199558	GRHL3	+
284632	1	24200214	LINC02800	+
57185	1	24413515	NIPAL3	+
90529	1	24416934	STPG1	-
11123	1	24502320	RCAN3	+
100750325	1	24556046	RCAN3AS	-
400746	1	24556061	NCMAP	+
10250	1	24631716	SRRM1	+
25932	1	24745342	CLIC4	+
864	1	24965121	RUNX3	-
25949	1	25232509	SYF2	-
6007	1	25272393	RHD	+
23585	1	25337915	TMEM50A	+
57035	1	25338244	RSRP1	-
6006	1	25430192	RHCE	-
55219	1	25430853	MACO1	+
26119	1	25543550	LDLRAP1	+
57134	1	25616788	MAN1C1	+
57190	1	25800180	SELENON	+
56181	1	25818640	MTFR1L	+
79000	1	25859463	AUNIP	-
164091	1	25875968	PAQR7	-
3925	1	25908470	STMN1	-
5051	1	25999206	PAFAH2	-
2134	1	26019884	EXTL1	+
7780	1	26046174	SLC30A2	-
84676	1	26068436	TRIM63	-
149420	1	26111141	PDIK1L	+
79927	1	26159033	FAM110D	+
110806296	1	26168963	C1orf232	-
51042	1	26169892	ZNF593	+
118568799	1	26171832	ZNF593OS	-
10256	1	26177459	CNKSR1	+
378807	1	26190561	CATSPER4	+
64793	1	26233669	CEP85	+
83442	1	26279128	SH3BGRL3	+
1043	1	26317907	CD52	+
91544	1	26318363	UBXN11	-
55057	1	26360080	CRYBG2	-
257101	1	26374522	ZNF683	-
79727	1	26410788	LIN28A	+
79947	1	26432273	DHDDS	+
3151	1	26471495	HMGN2	+
124903883	1	26473892	LOC124903883	-
6195	1	26529746	RPS6KA1	+
8289	1	26693236	ARID1A	+
55650	1	26787054	PIGV	+
84243	1	26826668	ZDHHC18	+
2810	1	26863149	SFN	+
139355241	1	26876133	GPN2-AS1	+
54707	1	26890283	GPN2	-
10726	1	26900238	NUDC	+
63906	1	26900478	GPATCH3	-
8431	1	26914073	NR0B2	-
126695	1	26960788	KDF1	-
388610	1	26993649	TRNP1	+
115572	1	27012884	TENT5B	-
6548	1	27166981	SLC9A1	-
23038	1	27233776	WDTC1	+
84065	1	27322139	TMEM222	+
84958	1	27342009	SYTL1	+
9064	1	27366986	MAP3K6	-
8547	1	27374920	FCN3	-
388611	1	27383339	CD164L2	-
2827	1	27392614	GPR3	+
10163	1	27490308	WASF2	-
105376892	1	27522446	LOC105376892	+
27245	1	27604431	AHDC1	-
2268	1	27635565	FGR	-
2537	1	27672212	IFI6	-
199870	1	27725946	FAM76A	+
23673	1	27773153	STX12	+
5511	1	27830763	PPP1R8	+
9473	1	27872537	THEMIS2	+
6118	1	27914751	RPA2	-
27293	1	27934967	SMPDL3B	+
55113	1	27959588	XKR8	+
2140	1	28088731	EYA3	-
5724	1	28194083	PTAFR	-
22826	1	28233087	DNAJC8	-
93974	1	28236072	ATP5IF1	+
83667	1	28259473	SESN2	+
54797	1	28329002	MED18	+
65979	1	28369563	PHACTR4	+
1104	1	28505932	RCC1	+
8420	1	28505980	SNHG3	+
54952	1	28552991	TRNAU1AP	+
85028	1	28583132	SNHG12	-
115273	1	28592200	RAB42	+
6883	1	28648364	TAF12	-
10691	1	28668280	GMEB1	+
51441	1	28736608	YTHDF2	+
4985	1	28812089	OPRD1	+
2035	1	28887073	EPB41	+
399474	1	29123935	TMEM200B	-
6429	1	29181994	SRSF4	-
51102	1	29230958	MECR	-
10076	1	29236500	PTPRU	+
101928460	1	29350114	LINC01756	-
101929406	1	30037612	LINC01648	-
100129196	1	30718504	MATN1-AS1	+
4146	1	30723585	MATN1	-
7805	1	30757855	LAPTM5	-
105378622	1	30824000	LINC01778	+
9672	1	30908813	SDC3	-
9698	1	31065991	PUM1	-
79570	1	31239992	NKAIN1	-
9410	1	31296823	SNRNP40	-
51538	1	31296942	ZCCHC17	+
2170	1	31376850	FABP3	-
347735	1	31409565	SERINC2	+
64129	1	31576357	TINAGL1	+
3061	1	31617660	HCRTR1	+
553115	1	31644910	PEF1	-
1307	1	31704387	COL16A1	-
576	1	31764893	ADGRB2	-
90853	1	31816022	SPOCD1	-
8073	1	31944856	PTP4A2	-
10657	1	32013687	KHDRBS1	+
55116	1	32072031	TMEM39B	+
23633	1	32108028	KPNA6	+
200081	1	32178097	TXLNA	+
79140	1	32200383	CCDC28B	+
55721	1	32205638	IQCC	+
149069	1	32209079	DCDC2B	+
8668	1	32221077	EIF3I	+
56063	1	32222361	TMEM234	-
339483	1	32241824	MTMR9LP	-
84734	1	32247215	FAM167B	+
3932	1	32251244	LCK	+
3065	1	32291919	HDAC1	+
65108	1	32336241	MARCKSL1	-
81629	1	32351521	TSSK3	+
100128071	1	32364278	FAM229A	-
55108	1	32394731	BSDC1	-
728116	1	32465047	ZBTB8B	+
653121	1	32539134	ZBTB8A	+
339487	1	32651011	TSLIG1	-
5928	1	32651043	RBBP4	+
81493	1	32703596	SYNC	-
57648	1	32741696	NHSL3	+
64766	1	32816408	S100PBP	+
8565	1	32818031	YARS1	-
252995	1	32872482	FNDC5	-
3208	1	32881498	HPCA	+
113452	1	32901440	TMEM54	-
127544	1	32964938	RNF19B	-
204	1	33080996	AK2	-
113451	1	33081104	AZIN2	+
55223	1	33182092	TRIM62	-
149076	1	33256273	ZNF362	+
127550	1	33321098	A3GALT2	-
1912	1	33431095	PHC2	-
7579	1	33472467	ZSCAN20	+
402779	1	33868953	CSMD2-AS1	+
114784	1	34165842	CSMD2	-
84970	1	34166883	C1orf94	+
2709	1	34755013	GJB5	+
127534	1	34759740	GJB4	+
2707	1	34781175	GJB3	+
2701	1	34792992	GJA4	+
113444	1	34859830	SMIM12	-
58512	1	34929664	DLGAP3	-
100506144	1	34985350	TMEM35B	-
9204	1	35031973	ZMYM6	-
79830	1	35032172	ZMYM1	+
105378644	1	35146435	LOC105378644	-
6421	1	35193446	SFPQ	-
9202	1	35268664	ZMYM4	+
100861513	1	35366077	ZMYM4-AS1	-
23154	1	35557442	NCDN	+
79932	1	35557950	KIAA0319L	-
339488	1	35573309	TFAP2E	+
105378645	1	35577808	TFAP2E-AS1	-
5690	1	35641568	PSMB2	-
127703	1	35718894	C1orf216	-
139355217	1	35739389	CLSPN-AS1	+
63967	1	35770002	CLSPN	-
192670	1	35807976	AGO4	+
26523	1	35869808	AGO1	+
192669	1	35930696	AGO3	+
27285	1	36084080	TEKT2	+
54936	1	36088873	ADPRS	+
1296	1	36125234	COL8A2	-
55700	1	36155541	MAP7D1	+
27095	1	36156053	TRAPPC3	-
9967	1	36224392	THRAP3	+
79729	1	36306314	MNMIP1	+
55194	1	36324154	EVA1B	-
83931	1	36385932	STK40	-
84967	1	36397945	LSM10	-
127700	1	36450491	OSCP1	-
64960	1	36464418	MRPS15	-
1441	1	36483322	CSF3R	-
2899	1	37034533	GRIK3	-
124904027	1	37133397	LOC124904027	+
728431	1	37474432	LITATS1	-
80149	1	37474496	ZC3H12A	+
64769	1	37515100	MEAF6	-
79753	1	37554304	SNIP1	-
7802	1	37556918	DNALI1	+
29889	1	37595955	GNL2	-
284654	1	37635604	RSPO1	-
54955	1	37692296	AIRIM	-
55143	1	37692473	CDCA8	+
284656	1	37765155	EPHA10	-
149175	1	37793788	MANEAL	+
127687	1	37806979	C1orf122	+
79693	1	37808216	YRDC	-
4520	1	37859614	MTF1	-
3633	1	37947241	INPP5B	-
10946	1	37990681	SF3A3	-
2275	1	38006380	FHL3	-
51118	1	38009111	UTP11	+
105378653	1	38031125	MIR3659HG	+
5453	1	38046793	POU3F1	-
339442	1	38214806	LINC01343	-
64121	1	38859772	RRAGC	-
105378663	1	38859886	RRAGC-DT	+
26292	1	38873388	MYCBP	-
81025	1	38881587	GJA9	-
54933	1	38941845	RHBDL2	-
79647	1	38991254	AKIRIN1	+
4725	1	39026318	NDUFS5	+
23499	1	39081316	MACF1	+
353500	1	39491069	BMP8A	+
728448	1	39559698	PPIEL	-
101929516	1	39565034	PABPC4-AS1	+
8761	1	39576900	PABPC4	-
26508	1	39639686	HEYL	-
84618	1	39673328	NT5C1A	-
51440	1	39691718	HPCAL4	-
10450	1	39692182	PPIE	+
64064	1	39771348	OXCT2	-
656	1	39788865	BMP8B	-
130932201	1	39799370	LOC130932201	+
107985740	1	39817464	LINC02811	-
54802	1	39883511	TRIT1	-
4610	1	39902256	MYCL	-
84879	1	39955112	MFSD2A	+
10487	1	40039735	CAP1	+
5538	1	40097267	PPT1	-
6018	1	40161357	RLF	+
127391	1	40245947	TMCO2	+
10269	1	40258041	ZMPSTE24	+
1298	1	40317813	COL9A2	-
64744	1	40344850	SMAP2	+
138842268	1	40450039	ZFP69B-DT	-
65243	1	40450053	ZFP69B	+
339559	1	40477233	ZFP69	+
64789	1	40508441	EXO5	+
127396	1	40531557	ZNF684	+
9783	1	40665728	RIMS3	-
4802	1	40691570	NFYC	+
9132	1	40783675	KCNQ4	+
163732	1	40862363	CITED4	-
1503	1	40979300	CTPS1	+
100507178	1	41014590	SLFNL1-AS1	+
200172	1	41024551	SLFNL1	-
102723924	1	41241772	SCMH1-DT	+
22955	1	41242324	SCMH1	-
100132074	1	41361922	FOXO6	+
101929901	1	41375669	FOXO6-AS1	-
1907	1	41500502	EDN2	-
59269	1	42035925	HIVEP3	-
22887	1	42335913	FOXJ3	-
284716	1	42380772	RIMKLA	+
79717	1	42456117	PPCS	+
84217	1	42456253	ZMYND12	-
728621	1	42463221	CCDC30	+
10465	1	42658185	PPIH	+
4904	1	42682144	YBX1	+
149461	1	42740286	CLDN19	-
64175	1	42767084	P3H1	-
79078	1	42767245	C1orf50	+
100129924	1	42784991	TMEM269	+
114625	1	42817078	ERMAP	+
374969	1	42824810	SVBP	-
51058	1	42846573	ZNF691	+
122152325	1	42891484	ZNF691-DT	-
6513	1	42958904	SLC2A1	-
440584	1	42959028	SLC2A1-DT	+
440585	1	43145153	CFAP144	+
149465	1	43172326	CFAP57	+
128218	1	43269976	TMEM125	+
10969	1	43270936	EBNA1BP2	-
149466	1	43285908	C1orf210	-
7075	1	43300958	TIE1	+
4352	1	43337808	MPL	+
105378687	1	43358861	CDC20-DT	-
991	1	43358907	CDC20	+
64834	1	43368075	ELOVL1	-
112950	1	43389823	MED8	-
23334	1	43389882	SZT2	+
100873952	1	43448644	SZT2-AS1	-
100873923	1	43453927	HYI-AS1	+
81888	1	43453999	HYI	-
5792	1	43525086	PTPRF	+
9682	1	43649256	KDM4A	+
6487	1	43705824	ST3GAL3	+
101929592	1	43727343	ST3GAL3-AS1	-
9048	1	43933272	ARTN	+
101929609	1	43946659	LOC101929609	-
9670	1	43946672	IPO13	+
1802	1	43969975	DPH2	+
533	1	43974487	ATP6V0B	+
8704	1	43978943	B4GALT2	+
149473	1	43991352	CCDC24	+
107984948	1	44030414	LOC107984948	+
6536	1	44031767	SLC6A9	-
128209	1	44118821	KLF17	+
55929	1	44213427	DMAP1	+
100874278	1	44244273	ERI3-IT1	-
79033	1	44355267	ERI3	-
55182	1	44405142	RNF220	+
79639	1	44674619	TMEM53	-
339541	1	44674692	ARMH1	+
11004	1	44739810	KIF2C	+
6202	1	44775251	RPS8	+
266675	1	44791550	BEST4	-
1263	1	44799915	PLK3	+
343521	1	44807417	DYNLT4	-
149478	1	44808506	BTBD19	+
8643	1	44843253	PTCH2	-
8891	1	44986722	EIF2B3	-
7389	1	45010950	UROD	+
79654	1	45011369	HECTD3	-
400752	1	45303910	LINC01144	+
57643	1	45306209	ZSWIM5	-
84842	1	45326895	HPDL	+
114034	1	45339938	TOE1	+
4595	1	45340893	MUTYH	-
10420	1	45491203	TESK2	-
126661	1	45500163	CCDC163	-
25974	1	45500186	MMACHC	+
5052	1	45542816	PRDX1	-
10327	1	45550475	AKR1A1	+
4678	1	45583576	NASP	+
149483	1	45624062	CCDC17	-
51249	1	45688149	TMEM69	+
60313	1	45688408	GPBP1L1	-
3652	1	45750805	IPP	-
23139	1	45786987	MAST2	+
8503	1	46133346	PIK3R3	-
10103	1	46173780	TSPAN1	+
110117498	1	46176488	P3R3URF	-
541468	1	46203191	LURAP1	+
55624	1	46220305	POMGNT1	-
8438	1	46246461	RAD54L	+
7388	1	46300900	UQCRH	+
10489	1	46303630	LRRC41	-
387338	1	46340691	NSUN4	+
2166	1	46394265	FAAH	+
101929651	1	46451317	LINC01398	-
127343	1	46489822	DMBX1	+
100507423	1	46538611	MKNK1-AS1	+
105378696	1	46544566	TMEM275	-
148930	1	46551647	KNCN	-
8569	1	46616850	MKNK1	-
148932	1	46616889	MOB3C	-
374973	1	46668855	TEX38	+
64756	1	46673867	ATPAF1	-
100130197	1	46674036	EFCAB14-AS1	+
9813	1	46719146	EFCAB14	-
1580	1	46757838	CYP4B1	+
163720	1	46900437	CYP4Z2P	-
260293	1	47023593	CYP4X1	+
199974	1	47067231	CYP4Z1	+
284541	1	47137388	CYP4A22	+
100874253	1	47179250	LINC00853	+
10158	1	47191398	PDZK1IP1	-
6886	1	47232225	TAL1	-
6491	1	47314892	STIL	-
51727	1	47333780	CMPK1	+
2301	1	47416285	FOXE3	+
84793	1	47434641	FOXD2-AS1	-
2306	1	47438044	FOXD2	+
107984953	1	47687725	LINC01738	+
388630	1	47997391	TRABD2B	-
200010	1	48222685	SLC5A9	+
54558	1	48472279	SPATA6	-
79656	1	48777020	BEND5	-
101929721	1	49257411	AGBL4-AS1	+
100874313	1	49472085	AGBL4-IT1	-
84871	1	50023978	AGBL4	-
1996	1	50024029	ELAVL4	+
105378712	1	50333683	LINC02808	-
105378715	1	50419181	FAF1-AS1	+
63950	1	50423473	DMRTA2	-
11124	1	50960288	FAF1	-
1031	1	50960745	CDKN2C	+
284546	1	51102221	C1orf185	+
26994	1	51235625	RNF11	+
105378716	1	51236897	LINC01562	-
102724097	1	51329616	TTC39A-AS1	+
22996	1	51345121	TTC39A	-
105378720	1	51518140	EPS15-AS1	+
2060	1	51519387	EPS15	-
114883	1	51577179	OSBPL9	+
4898	1	51878811	NRDC	-
5865	1	51990746	RAB3B	-
112970	1	52033810	KTI12	-
104355143	1	52050918	TXNDC12-AS1	+
51060	1	52056188	TXNDC12	-
91408	1	52056199	BTF3L4	+
9372	1	52141883	ZFYVE9	+
200014	1	52366318	CC2D1B	-
84950	1	52404060	PRPF38A	+
4998	1	52404492	ORC1	-
23318	1	52553504	TUT4	-
2882	1	52602280	GPX7	+
348378	1	52633168	SHISAL2A	+
65260	1	52698369	COA7	-
79699	1	52726390	ZYG11B	+
440590	1	52842511	ZYG11A	+
55268	1	52927212	ECHDC2	-
6342	1	52927255	SCP2	+
127435	1	53061293	PODN	+
6512	1	53142638	SLC1A7	-
1376	1	53196770	CPT2	+
54987	1	53220657	CZIB	-
120017342	1	53220663	CZIB-DT	+
100507564	1	53238537	MAGOH-DT	+
4116	1	53238626	MAGOH	-
7804	1	53328469	LRP8	-
148979	1	53739225	GLIS1	-
55706	1	53838582	NDC1	-
54432	1	53890683	YIPF1	-
1733	1	53891239	DIO1	+
115353	1	53946045	LRRC42	+
51668	1	53946588	IFT25	-
388633	1	54018194	LDLRAD1	-
127428	1	54052867	TCEANC2	+
9528	1	54053504	TMEM59	-
200008	1	54153770	CDCP2	-
51253	1	54184041	MRPL37	+
606495	1	54200073	CYB5RL	-
619518	1	54236440	SSBP3-AS1	+
23648	1	54413479	SSBP3	-
26027	1	54542257	ACOT11	+
338094	1	54623556	FAM151A	-
374977	1	54641754	MROH7	+
7268	1	54715818	TTC4	+
25973	1	54764549	PARS2	-
55001	1	54801508	TTC22	-
163747	1	54806063	CIMAP2	+
199964	1	54886833	TMEM61	+
1718	1	54887224	DHCR24	-
105378736	1	54980464	LOC105378736	-
7809	1	54998906	BSND	+
255738	1	55039445	PCSK9	+
23358	1	55215753	USP24	-
109729135	1	55217645	MIR4422HG	+
105378738	1	55329288	LINC01755	+
105378739	1	55944980	LINC01753	-
105378744	1	56414918	LINC01767	+
5563	1	56645206	PRKAA2	+
8613	1	56645301	PLPP3	-
199920	1	56819735	FYB2	-
731	1	56854752	C8A	+
732	1	56974383	C8B	-
101926890	1	57860532	DAB1-AS1	+
729423	1	58049335	HNRNPA1P6	-
1600	1	58546734	DAB1	-
