ensg_id	chr	TSS	gene_symbol	strand
ENSG00000240731	1	1318689	RP5-890O3.9	-
ENSG00000127054	1	1324691	CPSF3L	-
ENSG00000224051	1	1324756	CPTP	+
ENSG00000169962	1	1331314	TAS1R3	+
ENSG00000107404	1	1349350	DVL1	-
ENSG00000162576	1	1361777	MXRA8	-
ENSG00000175756	1	1375495	AURKAIP1	-
ENSG00000221978	1	1399328	CCNL2	-
ENSG00000224870	1	1399522	RP4-758J18.2	+
ENSG00000242485	1	1407313	MRPL20	-
ENSG00000272455	1	1409096	RP4-758J18.13	+
ENSG00000225905	1	1420245	RP4-758J18.7	+
ENSG00000235098	1	1421769	ANKRD65	-
ENSG00000205116	1	1426128	TMEM88B	+
ENSG00000225285	1	1434573	RP4-758J18.10	-
ENSG00000179403	1	1434861	VWA1	+
ENSG00000215915	1	1449689	ATAD3C	+
ENSG00000160072	1	1471769	ATAD3B	+
ENSG00000197785	1	1512151	ATAD3A	+
ENSG00000205090	1	1540453	TMEM240	-
ENSG00000160075	1	1574869	SSU72	-
ENSG00000215014	1	1574975	RP5-832C2.5	+
ENSG00000228594	1	1600096	FNDC10	-
ENSG00000197530	1	1615415	MIB2	+
ENSG00000272106	1	1615795	RP11-345P4.9	-
ENSG00000189409	1	1632095	MMP23B	+
ENSG00000248333	1	1659012	CDK11B	-
ENSG00000272004	1	1659325	RP11-345P4.10	+
ENSG00000189339	1	1692728	SLC35E2B	-
ENSG00000008128	1	1724324	CDK11A	-
ENSG00000008130	1	1780457	NADK	-
ENSG00000078369	1	1891117	GNB1	-
ENSG00000231050	1	1891471	RP1-140A9.1	+
ENSG00000169885	1	1914827	CALML6	+
ENSG00000178821	1	1919273	TMEM52	-
ENSG00000142609	1	2003837	CFAP74	-
ENSG00000233542	1	2015530	RP11-547D24.1	-
ENSG00000187730	1	2019324	GABRD	+
ENSG00000067606	1	2050470	PRKCZ	+
ENSG00000271806	1	2145279	RP5-892K4.1	-
ENSG00000182873	1	2184389	RP11-181G12.2	-
ENSG00000234396	1	2212523	RP11-181G12.4	+
ENSG00000162585	1	2212720	FAAP20	-
ENSG00000157933	1	2228695	SKI	+
ENSG00000272161	1	2326693	RP4-713A8.1	-
ENSG00000272420	1	2363628	RP4-740C4.7	-
ENSG00000116151	1	2391707	MORN1	-
ENSG00000157916	1	2391775	RER1	+
ENSG00000157911	1	2413797	PEX10	-
ENSG00000149527	1	2425980	PLCH2	+
ENSG00000157881	1	2526628	PANK4	-
ENSG00000197921	1	2530245	HES5	-
ENSG00000272449	1	2546465	RP3-395M20.12	+
ENSG00000157873	1	2555639	TNFRSF14	+
ENSG00000238164	1	2557031	RP3-395M20.8	-
ENSG00000228037	1	2581560	RP3-395M20.9	+
ENSG00000157870	1	2586491	FAM213B	+
ENSG00000237058	1	2632568	RP13-436F16.1	+
ENSG00000142606	1	2632990	MMEL1	-
ENSG00000283259	1	2773603	ABC14-1188822O7.1	+
ENSG00000215912	1	2801717	TTC34	-
ENSG00000177133	1	3068437	LINC00982	-
ENSG00000142611	1	3069168	PRDM16	+
ENSG00000226286	1	3133709	RP1-163G9.2	-
ENSG00000272235	1	3310096	RP11-22L13.1	-
ENSG00000130762	1	3454426	ARHGEF16	+
ENSG00000272088	1	3487246	RP11-168F9.2	+
ENSG00000162591	1	3611495	MEGF6	-
ENSG00000238260	1	3624743	RP11-46F15.2	-
ENSG00000158109	1	3625002	TPRG1L	+
ENSG00000078900	1	3652520	TP73	+
ENSG00000116213	1	3652761	WRAP73	-
ENSG00000162592	1	3746460	CCDC27	+
ENSG00000235169	1	3772788	SMIM1	+
ENSG00000272153	1	3785008	RP1-286D6.5	+
ENSG00000130764	1	3796504	LRRC47	-
ENSG00000116198	1	3857214	CEP104	-
ENSG00000169598	1	3857267	DFFB	+
ENSG00000198912	1	3900293	C1orf174	-
ENSG00000236423	1	3900372	LINC01134	+
ENSG00000235054	1	4412027	RP5-1166F10.1	+
ENSG00000196581	1	4654732	AJAP1	+
ENSG00000236948	1	5668295	RP11-154H17.1	-
ENSG00000069424	1	5991466	KCNAB2	+
ENSG00000131697	1	5992473	NPHP4	-
ENSG00000116254	1	6180123	CHD5	-
ENSG00000158286	1	6205475	RNF207	+
ENSG00000226944	1	6205780	RP1-120G22.11	-
ENSG00000116251	1	6209389	RPL22	-
ENSG00000116237	1	6235972	ICMT	-
ENSG00000225077	1	6236240	LINC00337	+
ENSG00000158292	1	6260975	GPR153	-
ENSG00000271746	1	6393555	RP1-202O8.3	+
ENSG00000097021	1	6394391	ACOT7	-
ENSG00000069812	1	6424670	HES2	-
ENSG00000187017	1	6424788	ESPN	+
ENSG00000215788	1	6466195	TNFRSF25	-
ENSG00000171680	1	6520061	PLEKHG5	-
ENSG00000162408	1	6554535	NOL9	-
ENSG00000173662	1	6555181	TAS1R1	+
ENSG00000204859	1	6580001	ZBTB48	+
ENSG00000116273	1	6613685	PHF13	+
ENSG00000162413	1	6614607	KLHL21	-
ENSG00000041988	1	6624866	THAP3	+
ENSG00000007923	1	6701924	DNAJC11	-
ENSG00000228750	1	6724637	RP11-242F24.1	+
ENSG00000237436	1	6784843	RP11-312B8.1	-
ENSG00000171735	1	6785324	CAMTA1	+
ENSG00000237365	1	7014279	RP11-334N17.1	-
ENSG00000237402	1	7368942	CAMTA1-IT1	+
ENSG00000237728	1	7389754	RP3-453P22.2	-
ENSG00000225126	1	7441554	RP4-549F15.1	-
ENSG00000270171	1	7694844	RP11-338N10.1	-
ENSG00000270035	1	7698872	RP11-338N10.2	-
ENSG00000269978	1	7700970	RP11-338N10.3	-
ENSG00000049245	1	7771269	VAMP3	+
ENSG00000269925	1	7776383	RP3-467L1.6	+
ENSG00000049246	1	7784320	PER3	+
ENSG00000236266	1	7827342	RP3-467L1.4	-
ENSG00000049247	1	7853512	UTS2	-
ENSG00000049249	1	7943165	TNFRSF9	-
ENSG00000116288	1	7954291	PARK7	+
ENSG00000116285	1	8026308	ERRFI1	-
ENSG00000238290	1	8026738	RP11-431K24.1	+
ENSG00000227634	1	8202429	RP11-431K24.3	+
ENSG00000162426	1	8317826	SLC45A1	+
ENSG00000232912	1	8424645	RP5-1115A15.1	+
ENSG00000228423	1	8807051	RP4-633I8.4	-
ENSG00000142599	1	8817643	RERE	-
ENSG00000230679	1	8878835	ENO1-AS1	+
ENSG00000074800	1	8879249	ENO1	-
ENSG00000131686	1	8945867	CA6	+
ENSG00000197241	1	9026345	SLC2A7	-
ENSG00000142583	1	9088478	SLC2A5	-
ENSG00000180758	1	9129170	GPR157	-
ENSG00000234546	1	9182004	RP3-510D11.2	+
ENSG00000228526	1	9196983	MIR34A	-
ENSG00000049239	1	9234775	H6PD	+
ENSG00000171621	1	9292880	SPSB1	+
ENSG00000235263	1	9503471	RP13-392I16.1	-
ENSG00000171612	1	9539482	SLC25A33	+
ENSG00000188807	1	9588922	TMEM201	+
ENSG00000171608	1	9651732	PIK3CD	+
ENSG00000231789	1	9687555	PIK3CD-AS2	-
ENSG00000171603	1	9824526	CLSTN1	-
ENSG00000223989	1	9848318	RP11-84A14.5	+
ENSG00000178585	1	9910336	CTNNBIP1	-
ENSG00000228150	1	9942923	RP11-84A14.4	+
ENSG00000162441	1	9943407	LZIC	-
ENSG00000173614	1	9943428	NMNAT1	+
ENSG00000162444	1	9997206	RBP7	+
ENSG00000130939	1	10032832	UBE4B	+
ENSG00000054523	1	10210805	KIF1B	+
ENSG00000142657	1	10398592	PGD	+
ENSG00000175279	1	10430443	APITD1	+
ENSG00000241563	1	10449719	CORT	+
ENSG00000203469	1	10458555	RP5-1113E3.3	+
ENSG00000142655	1	10472288	PEX14	+
ENSG00000160049	1	10472526	DFFA	-
ENSG00000272078	1	10639241	RP4-734G22.3	+
ENSG00000130940	1	10796650	CASZ1	-
ENSG00000175262	1	10982037	C1orf127	-
ENSG00000120948	1	11012344	TARDBP	+
ENSG00000009724	1	11047233	MASP2	-
ENSG00000116649	1	11060024	SRM	-
ENSG00000226849	1	11068471	RP4-635E18.7	+
ENSG00000230337	1	11099675	RP4-635E18.6	+
ENSG00000171824	1	11099881	EXOSC10	-
ENSG00000225602	1	11143898	MTOR-AS1	+
ENSG00000171819	1	11189341	ANGPTL7	+
ENSG00000198793	1	11262507	MTOR	-
ENSG00000120942	1	11273206	UBIAD1	+
ENSG00000204624	1	11479166	DISP3	+
ENSG00000235643	1	11609531	RP1-69M21.2	+
ENSG00000132879	1	11654375	FBXO44	+
ENSG00000116661	1	11655785	FBXO2	-
ENSG00000116663	1	11664124	FBXO6	+
ENSG00000116670	1	11691650	MAD2L2	-
ENSG00000162490	1	11691729	DRAXIN	+
ENSG00000177674	1	11736084	AGTRAP	+
ENSG00000215910	1	11761787	C1orf167	+
ENSG00000177553	1	11779619	RP11-56N19.5	-
ENSG00000011021	1	11806096	CLCN6	+
ENSG00000177000	1	11806920	MTHFR	-
ENSG00000175206	1	11848345	NPPA	-
ENSG00000120937	1	11858931	NPPB	-
ENSG00000116685	1	11926428	KIAA2013	-
ENSG00000083444	1	11934205	PLOD1	+
ENSG00000116688	1	11980181	MFN2	+
ENSG00000116691	1	12019466	MIIP	+
ENSG00000120949	1	12063377	TNFRSF8	+
ENSG00000028137	1	12166943	TNFRSF1B	+
ENSG00000048707	1	12230067	VPS13D	+
ENSG00000229484	1	12527724	RP5-888M10.2	+
ENSG00000162496	1	12617731	DHRS3	-
ENSG00000272482	1	12619244	RP11-474O21.5	-
ENSG00000204518	1	12644547	AADACL4	+
ENSG00000188984	1	12716115	AADACL3	+
ENSG00000157330	1	12746215	C1orf158	+
ENSG00000116726	1	12774841	PRAMEF12	+
ENSG00000204478	1	13410450	PRAMEF20	+
ENSG00000162494	1	13514048	LRRC38	-
ENSG00000162493	1	13583465	PDPN	+
ENSG00000237445	1	13659910	CTA-520D8.2	-
ENSG00000116731	1	13700198	PRDM2	+
ENSG00000189337	1	13892792	KAZN	+
ENSG00000231606	1	14223118	RP11-344F13.1	-
ENSG00000234593	1	14391575	RP4-704D23.1	-
ENSG00000175147	1	15152464	TMEM51-AS1	-
ENSG00000171729	1	15152532	TMEM51	+
ENSG00000204464	1	15171317	C1orf195	-
ENSG00000142621	1	15247272	FHAD1	+
ENSG00000233485	1	15343876	RP3-467K16.2	-
ENSG00000228140	1	15409433	RP3-467K16.4	-
ENSG00000142634	1	15409895	EFHD2	+
ENSG00000162438	1	15438439	CTRC	+
ENSG00000142615	1	15456728	CELA2A	+
ENSG00000215704	1	15465909	CELA2B	+
ENSG00000132906	1	15526534	CASP9	-
ENSG00000116138	1	15526813	DNAJC16	+
ENSG00000272510	1	15565956	RP4-680D5.8	-
ENSG00000116771	1	15585110	AGMAT	-
ENSG00000237301	1	15603626	RP4-680D5.2	-
ENSG00000197312	1	15617500	DDI2	+
ENSG00000215695	1	15659869	RSC1A1	+
ENSG00000271742	1	15683128	RP4-680D5.9	-
ENSG00000116786	1	15684332	PLEKHM2	+
ENSG00000162461	1	15736405	SLC25A34	+
ENSG00000237938	1	15736896	RP11-288I21.1	-
ENSG00000162460	1	15742422	TMEM82	+
ENSG00000224459	1	15749896	RP11-169K16.4	-
ENSG00000162458	1	15756607	FBLIM1	+
ENSG00000233954	1	15809348	UQCRHL	-
ENSG00000065526	1	15847864	SPEN	+
ENSG00000179743	1	15848147	FLJ37453	-
ENSG00000116809	1	15976132	ZBTB17	-
ENSG00000183888	1	16004236	C1orf64	+
ENSG00000186510	1	16018875	CLCNKA	+
ENSG00000173641	1	16019594	HSPB7	-
ENSG00000184908	1	16043736	CLCNKB	+
ENSG00000185519	1	16073632	FAM131C	-
ENSG00000227959	1	16155211	RP11-276H7.2	+
ENSG00000142627	1	16156087	EPHA2	-
ENSG00000224621	1	16159266	RP11-276H7.3	+
ENSG00000142632	1	16212609	ARHGEF19	-
ENSG00000132881	1	16237162	RSG1	-
ENSG00000037637	1	16352454	FBXO42	-
ENSG00000055070	1	16352575	SZRD1	+
ENSG00000187144	1	16437424	SPATA21	-
ENSG00000157191	1	16440672	NECAP2	+
ENSG00000226029	1	16460948	RP4-798A10.2	+
ENSG00000261135	1	16514645	RP4-798A10.7	+
ENSG00000224174	1	16520694	RP4-798A10.4	+
ENSG00000233421	1	16536172	RP5-875O13.1	-
ENSG00000219481	1	16613562	NBPF1	-
ENSG00000271732	1	16617391	RP5-1182A14.5	+
ENSG00000282143	1	16656879	RP1-163M9.8	+
ENSG00000058453	1	16740273	CROCC	+
ENSG00000282740	1	16750589	RP5-1182A14.7	-
ENSG00000228549	1	16870945	RP11-108M9.3	+
ENSG00000238142	1	16889649	RP11-108M9.4	-
ENSG00000272426	1	16904776	RP11-108M9.6	-
ENSG00000226526	1	16978926	RP1-37C10.3	+
ENSG00000117122	1	16980835	MFAP2	-
ENSG00000159363	1	17011928	ATP13A2	-
ENSG00000117118	1	17054170	SDHB	-
ENSG00000117115	1	17119435	PADI2	-
ENSG00000142623	1	17205126	PADI1	+
ENSG00000142619	1	17249098	PADI3	+
ENSG00000159339	1	17308195	PADI4	+
ENSG00000276747	1	17372196	PADI6	+
ENSG00000179051	1	17439724	RCC2	-
ENSG00000074964	1	17539835	ARHGEF10L	+
ENSG00000236648	1	17717687	RP11-473A10.2	+
ENSG00000117148	1	17755313	ACTL8	+
ENSG00000117154	1	18107746	IGSF21	+
ENSG00000230035	1	18179346	RP11-174G17	-
ENSG00000225387	1	18385829	RP11-422P22.1	+
ENSG00000179023	1	18480982	KLHDC7A	+
ENSG00000009709	1	18631006	PAX7	+
ENSG00000179002	1	18859682	TAS1R2	-
ENSG00000159423	1	18902781	ALDH4A1	-
ENSG00000169991	1	18956686	IFFO2	-
ENSG00000272084	1	19075511	RP5-1126H10.2	-
ENSG00000127481	1	19210276	UBR4	-
ENSG00000230424	1	19210501	RP1-43E13.2	+
ENSG00000053372	1	19251539	MRTO4	+
ENSG00000127463	1	19251552	EMC1	-
ENSG00000211454	1	19274194	AKR7L	-
ENSG00000162482	1	19289250	AKR7A3	-
ENSG00000053371	1	19312146	AKR7A2	-
ENSG00000040487	1	19312326	PQLC2	+
ENSG00000077549	1	19485539	CAPZB	-
ENSG00000235185	1	19596832	RP5-1056L3.1	-
ENSG00000173436	1	19596977	MINOS1	+
ENSG00000158747	1	19640554	NBL1	+
ENSG00000158748	1	19665287	HTR6	+
ENSG00000162542	1	19799945	TMCO4	-
ENSG00000169914	1	19882513	OTUD3	+
ENSG00000188257	1	19980416	PLA2G2A	-
ENSG00000127472	1	20028179	PLA2G5	+
ENSG00000117215	1	20119566	PLA2G2D	-
ENSG00000158786	1	20139326	PLA2G2F	+
ENSG00000227066	1	20154338	RP3-340N1.2	+
ENSG00000187980	1	20177424	PLA2G2C	-
ENSG00000162543	1	20186085	UBXN10	+
ENSG00000158816	1	20290919	VWA5B1	+
ENSG00000226664	1	20323187	RP4-745E8.2	-
ENSG00000236963	1	20431234	LINC01141	-
ENSG00000162545	1	20486220	CAMK2N1	-
ENSG00000090432	1	20508161	MUL1	-
ENSG00000183114	1	20552439	FAM43B	+
ENSG00000158825	1	20588948	CDA	+
ENSG00000158828	1	20633455	PINK1	+
ENSG00000117242	1	20652193	PINK1-AS	-
ENSG00000244038	1	20661544	DDOST	-
ENSG00000117245	1	20718017	KIF17	-
ENSG00000189410	1	20732837	SH2D5	-
ENSG00000127483	1	20787323	HP1BP3	-
ENSG00000075151	1	21176888	EIF4G3	-
ENSG00000236936	1	21266082	RP3-329E20.2	+
ENSG00000231105	1	21293290	RP5-1071N3.1	+
ENSG00000117298	1	21345504	ECE1	-
ENSG00000142794	1	21440128	NBPF3	+
ENSG00000162551	1	21509372	ALPL	+
ENSG00000233431	1	21586472	RP11-63N8.3	+
ENSG00000076864	1	21669363	RAP1GAP	-
ENSG00000090686	1	21783606	USP48	-
ENSG00000187942	1	21812265	LDLRAD2	+
ENSG00000142798	1	21937297	HSPG2	-
ENSG00000219073	1	21977021	CELA3B	+
ENSG00000142789	1	22001656	CELA3A	+
ENSG00000218510	1	22024531	LINC00339	+
ENSG00000228397	1	22026048	RP1-224A6.3	-
ENSG00000070831	1	22052627	CDC42	+
ENSG00000230068	1	22059197	CDC42-IT1	+
ENSG00000162552	1	22143969	WNT4	-
ENSG00000184677	1	22451851	ZBTB40	+
ENSG00000237200	1	22517474	ZBTB40-IT1	+
ENSG00000070886	1	22563564	EPHA8	+
ENSG00000173372	1	22636506	C1QA	+
ENSG00000159189	1	22643630	C1QC	+
ENSG00000173369	1	22652762	C1QB	+
ENSG00000133216	1	22710839	EPHB2	+
ENSG00000215906	1	22965338	LACTBL1	-
ENSG00000227868	1	23015850	C1orf234	-
ENSG00000004487	1	23019448	KDM1A	+
ENSG00000240553	1	23088058	RP1-184J9.2	-
ENSG00000169641	1	23177808	LUZP1	-
ENSG00000179546	1	23194729	HTR1D	-
ENSG00000261326	1	23286752	LINC01355	-
ENSG00000125944	1	23344336	HNRNPR	-
ENSG00000249087	1	23368997	ZNF436-AS1	+
ENSG00000125945	1	23369442	ZNF436	-
ENSG00000271420	1	23379029	RP5-1057J7.7	-
ENSG00000204219	1	23424740	TCEA3	-
ENSG00000088280	1	23484568	ASAP3	-
ENSG00000007968	1	23531220	E2F2	-
ENSG00000235052	1	23550915	RP1-150O5.3	-
ENSG00000117318	1	23559794	ID3	-
ENSG00000197880	1	23581495	MDS2	+
ENSG00000142676	1	23691779	RPL11	+
ENSG00000011007	1	23743155	TCEB3	+
ENSG00000236810	1	23778287	TCEB3-AS1	-
ENSG00000057757	1	23778405	PITHD1	+
ENSG00000011009	1	23790970	LYPLA2	+
ENSG00000117308	1	23800804	GALE	-
ENSG00000117305	1	23838620	HMGCL	-
ENSG00000179163	1	23868294	FUCA1	-
ENSG00000188822	1	23913362	CNR2	-
ENSG00000189266	1	23959109	PNRC2	+
ENSG00000188529	1	23980927	SRSF10	-
ENSG00000225315	1	24040835	RP11-293P20.2	+
ENSG00000142661	1	24112175	MYOM3	-
ENSG00000142677	1	24143121	IL22RA1	-
ENSG00000185436	1	24187959	IFNLR1	-
ENSG00000230023	1	24200240	RP11-10N16.2	+
ENSG00000158055	1	24319322	GRHL3	+
ENSG00000232298	1	24321901	RP11-10N16.3	-
ENSG00000001461	1	24415794	NIPAL3	+
ENSG00000001460	1	24416934	STPG1	-
ENSG00000117602	1	24502351	RCAN3	+
ENSG00000264443	1	24556024	RP4-594I10.3	-
ENSG00000184454	1	24556111	NCMAP	+
ENSG00000133226	1	24631716	SRRM1	+
ENSG00000169504	1	24745357	CLIC4	+
ENSG00000020633	1	24965121	RUNX3	-
ENSG00000233755	1	25113120	RP4-799D16.1	-
ENSG00000231953	1	25208139	RP4-706G24.1	+
ENSG00000117614	1	25232502	SYF2	-
ENSG00000272432	1	25247837	RP3-465N24.6	+
ENSG00000187010	1	25272393	RHD	+
ENSG00000183726	1	25337917	TMEM50A	+
ENSG00000117616	1	25338213	RSRP1	-
ENSG00000188672	1	25430192	RHCE	-
ENSG00000204178	1	25430858	TMEM57	+
ENSG00000157978	1	25543580	LDLRAP1	+
ENSG00000225643	1	25581478	RP11-70P17.1	+
ENSG00000117643	1	25617468	MAN1C1	+
ENSG00000233478	1	25659111	RP1-187B23.1	-
ENSG00000162430	1	25800176	SEPN1	+
ENSG00000117640	1	25818640	MTFR1L	+
ENSG00000228172	1	25820797	RP1-317E23.3	-
ENSG00000127423	1	25859458	AUNIP	-
ENSG00000236528	1	25859613	RP1-125I3.2	+
ENSG00000182749	1	25871253	PAQR7	-
ENSG00000117632	1	25906991	STMN1	-
ENSG00000158006	1	25998157	PAFAH2	-
ENSG00000158008	1	26019884	EXTL1	+
ENSG00000158014	1	26046133	SLC30A2	-
ENSG00000158022	1	26068436	TRIM63	-
ENSG00000175087	1	26111165	PDIK1L	+
ENSG00000197245	1	26159020	FAM110D	+
ENSG00000282872	1	26168581	RP11-96L14.8	-
ENSG00000142684	1	26169871	ZNF593	+
ENSG00000236782	1	26171821	RP11-96L14.7	-
ENSG00000142675	1	26177403	CNKSR1	+
ENSG00000188782	1	26190561	CATSPER4	+
ENSG00000130695	1	26234153	CEP85	+
ENSG00000142669	1	26279176	SH3BGRL3	+
ENSG00000169442	1	26317957	CD52	+
ENSG00000158062	1	26318363	UBXN11	-
ENSG00000176092	1	26354130	AIM1L	-
ENSG00000176083	1	26374522	ZNF683	-
ENSG00000131914	1	26410778	LIN28A	+
ENSG00000117682	1	26432282	DHDDS	+
ENSG00000225891	1	26467282	RP3-476K8.3	-
ENSG00000198830	1	26472450	HMGN2	+
ENSG00000117676	1	26529761	RPS6KA1	+
ENSG00000117713	1	26693236	ARID1A	+
ENSG00000260063	1	26694131	RP5-968P14.2	-
ENSG00000060642	1	26787472	PIGV	+
ENSG00000204160	1	26826710	ZDHHC18	+
ENSG00000175793	1	26863138	SFN	+
ENSG00000226698	1	26876133	RP1-50O24.6	+
ENSG00000142751	1	26890297	GPN2	-
ENSG00000090273	1	26900238	NUDC	+
ENSG00000198746	1	26900466	GPATCH3	-
ENSG00000131910	1	26913966	NR0B2	-
ENSG00000175707	1	26960406	KDF1	-
ENSG00000253368	1	26993707	TRNP1	+
ENSG00000158246	1	27012836	FAM46B	-
ENSG00000090020	1	27166981	SLC9A1	-
ENSG00000224311	1	27234352	RP11-40H20.4	-
ENSG00000142784	1	27234516	WDTC1	+
ENSG00000186501	1	27322145	TMEM222	+
ENSG00000142765	1	27342020	SYTL1	+
ENSG00000142733	1	27366892	MAP3K6	-
ENSG00000142748	1	27374824	FCN3	-
ENSG00000174950	1	27383380	CD164L2	-
ENSG00000181773	1	27392644	GPR3	+
ENSG00000241169	1	27457198	RP4-752I6.1	+
ENSG00000158195	1	27490158	WASF2	-
ENSG00000237429	1	27525805	RP1-159A19.4	+
ENSG00000126705	1	27604431	AHDC1	-
ENSG00000000938	1	27635277	FGR	-
ENSG00000233975	1	27662722	RP11-288L9.1	-
ENSG00000225886	1	27669468	RP11-288L9.4	+
ENSG00000126709	1	27672218	IFI6	-
ENSG00000009780	1	27725979	FAM76A	+
ENSG00000117758	1	27773183	STX12	+
ENSG00000269971	1	27773858	RP3-426I6.5	+
ENSG00000270031	1	27819983	RP3-426I6.6	+
ENSG00000117751	1	27830778	PPP1R8	+
ENSG00000130775	1	27872543	THEMIS2	+
ENSG00000117748	1	27914746	RPA2	-
ENSG00000130768	1	27934993	SMPDL3B	+
ENSG00000158156	1	27959462	XKR8	+
ENSG00000227050	1	27960193	RP11-460I13.2	-
ENSG00000158161	1	28088696	EYA3	-
ENSG00000169403	1	28193936	PTAFR	-
ENSG00000126698	1	28233025	DNAJC8	-
ENSG00000130770	1	28236109	ATPIF1	+
ENSG00000270605	1	28241453	RP5-1092A3.4	-
ENSG00000271398	1	28247144	RP5-1092A3.5	+
ENSG00000130766	1	28259527	SESN2	+
ENSG00000130772	1	28329002	MED18	+
ENSG00000204138	1	28369582	PHACTR4	+
ENSG00000180198	1	28505943	RCC1	+
ENSG00000242125	1	28505980	SNHG3	+
ENSG00000180098	1	28553085	TRNAU1AP	+
ENSG00000197989	1	28582983	SNHG12	-
ENSG00000188060	1	28592200	RAB42	+
ENSG00000120656	1	28643085	TAF12	-
ENSG00000229388	1	28643228	RP11-442N24__B.1	+
ENSG00000270103	1	28648600	RNU11	+
ENSG00000162419	1	28668732	GMEB1	+
ENSG00000198492	1	28736621	YTHDF2	+
ENSG00000116329	1	28812142	OPRD1	+
ENSG00000233427	1	28877336	RP1-212P9.3	-
ENSG00000159023	1	28887091	EPB41	+
ENSG00000253304	1	29123935	TMEM200B	-
ENSG00000225750	1	29146994	RP11-242O24.3	-
ENSG00000116350	1	29181987	SRSF4	-
ENSG00000116353	1	29230942	MECR	-
ENSG00000060656	1	29236516	PTPRU	+
ENSG00000230523	1	29350114	RP3-437I16.1	-
ENSG00000233399	1	30037612	RP11-111I12.1	-
ENSG00000186056	1	30718504	MATN1-AS1	+
ENSG00000162510	1	30723587	MATN1	-
ENSG00000162511	1	30757820	LAPTM5	-
ENSG00000229607	1	30815553	RP5-1125N11.1	-
ENSG00000223382	1	30824228	RP5-1125N11.2	+
ENSG00000162512	1	30908761	SDC3	-
ENSG00000134644	1	31065991	PUM1	-
ENSG00000084628	1	31239554	NKAIN1	-
ENSG00000060688	1	31296782	SNRNP40	-
ENSG00000121766	1	31296982	ZCCHC17	+
ENSG00000229044	1	31346799	RP11-266K22.2	-
ENSG00000121769	1	31376850	FABP3	-
ENSG00000168528	1	31409565	SERINC2	+
ENSG00000142910	1	31576485	TINAGL1	+
ENSG00000121764	1	31617686	HCRTR1	+
ENSG00000235790	1	31644049	RP11-73M7.6	+
ENSG00000264078	1	31644694	RP11-73M7.9	+
ENSG00000162517	1	31644896	PEF1	-
ENSG00000084636	1	31704319	COL16A1	-
ENSG00000121753	1	31764893	ADGRB2	-
ENSG00000254545	1	31789130	RP11-84A19.3	+
ENSG00000134668	1	31816051	SPOCD1	-
ENSG00000203620	1	31855568	RP11-84A19.2	-
ENSG00000269967	1	31921841	RP11-84A19.4	-
ENSG00000228634	1	31933020	RP4-534N18.2	+
ENSG00000184007	1	31944856	PTP4A2	-
ENSG00000121774	1	32013829	KHDRBS1	+
ENSG00000121775	1	32072031	TMEM39B	+
ENSG00000203325	1	32073474	RP11-277A4.4	-
ENSG00000025800	1	32108038	KPNA6	+
ENSG00000250135	1	32170733	RP4-622L5.2	+
ENSG00000084652	1	32179686	TXLNA	+
ENSG00000160050	1	32200386	CCDC28B	+
ENSG00000160051	1	32205661	IQCC	+
ENSG00000224066	1	32206814	RP4-622L5.7	-
ENSG00000222046	1	32209094	DCDC2B	+
ENSG00000084623	1	32221928	EIF3I	+
ENSG00000160055	1	32222359	TMEM234	-
ENSG00000183615	1	32247233	FAM167B	+
